NAME;DESCRIPTION;PRICE;IMAGE;PROPERTY-NAME-0;PROPERTY-VALUE-0;PROPERTY-NAME-1;PROPERTY-VALUE-1;PROPERTY-NAME-2;PROPERTY-VALUE-2;PROPERTY-NAME-3;PROPERTY-VALUE-3;PROPERTY-NAME-4;PROPERTY-VALUE-4;PROPERTY-NAME-5;PROPERTY-VALUE-5;PROPERTY-NAME-6;PROPERTY-VALUE-6;PROPERTY-NAME-7;PROPERTY-VALUE-7;PROPERTY-NAME-8;PROPERTY-VALUE-8;PROPERTY-NAME-9;PROPERTY-VALUE-9;PROPERTY-NAME-10;PROPERTY-VALUE-10;PROPERTY-NAME-11;PROPERTY-VALUE-11;PROPERTY-NAME-12;PROPERTY-VALUE-12;PROPERTY-NAME-13;PROPERTY-VALUE-13
Штанга для душа;"Современный дизайн изделия отлично впишется в любой интерьер ванной комнаты. Штанга снабженадержателями (регулируемые по высоте держатели душевой штанги, регулируемый в трех плоскостях держатель ручного душа), линии которых повторяются во всей коллекции, подчеркивая единую концепцию дизайна. Забота о безопасности: изготовлена из экологичной и безопасной латуни с пониженным содержанием свинца. Материал устойчив к коррозии, известковому налету, сколам и царапинам.";3190;https://my-am.pm/upload/iblock/0f4/0f49959714ac5688c1b00552a5a14dd6.jpg;Бренд;AM.PM;Продукт;Штанга для душа;Артикул;F0390000;Коллекция;Gem;Ширина изделия(мм);125;Глубина изделия (мм);90;Высота изделия(мм);700;Материал изделия;"Нержавеющая сталь; ABS-пластик";Цвет изделия;хром;Страна производства;Германия;Гарантия;2;Держатель ручного душа;Есть;Держатели штанги;Есть;Длина душевой штанги;700
Штанга для душа;"Выверенный геометрический дизайн: идеально ровные поверхности, характерные для премиального сегмента. Современный дизайн изделия отлично впишется в любой интерьер ванной комнаты. Штанга снабжена специальными держателями и мыльницей, линии которых повторяются во всей коллекции, подчеркивая единую концепцию дизайна. Забота о безопасности: изготовлен из экологичной и безопасной латуни с пониженным содержанием свинца.Материал устойчив к коррозии, известковому налету, сколам и царапинам.";5790;https://my-am.pm/upload/iblock/848/848be198cf712b3765ada30cf8dd5d13.jpg;Бренд;AM.PM;Продукт;Штанга для душа;Артикул;F0370064;Коллекция;Spirit;Ширина изделия(мм);"110,8";Глубина изделия (мм);140;Высота изделия(мм);920;Материал изделия;"Нержавеющая сталь; ABS-пластик";Цвет изделия;хром;Страна производства;Германия;Гарантия;2;Держатель ручного душа;Есть;Держатели штанги;Есть;Длина душевой штанги;900
